category,link,name,领域,CCF等级
journal,https://dblp.uni-trier.de/db/journals/iandc/index.html,IANDC,6.计算机科学理论,A刊
journal,https://dblp.uni-trier.de/db/journals/siamcomp/index.html,SICOMP,6.计算机科学理论,A刊
conference,https://dblp.uni-trier.de/db/conf/stoc/index.html,STOC,6.计算机科学理论,A会
conference,https://dblp.uni-trier.de/db/conf/soda/index.html,SODA,6.计算机科学理论,A会
conference,https://dblp.uni-trier.de/db/conf/cav/index.html,CAV,6.计算机科学理论,A会
conference,https://dblp.uni-trier.de/db/conf/focs/index.html,FOCS,6.计算机科学理论,A会
conference,https://dblp.uni-trier.de/db/conf/lics/index.html,LICS,6.计算机科学理论,A会
journal,https://dblp.uni-trier.de/db/journals/tog/index.html,TOG,7.计算机图形学与多媒体,A刊
journal,https://dblp.uni-trier.de/db/journals/tip/index.html,TIP,7.计算机图形学与多媒体,A刊
journal,https://dblp.uni-trier.de/db/journals/tvcg/index.html,TVCG,7.计算机图形学与多媒体,A刊
conference,https://dblp.uni-trier.de/db/conf/mm/index.html,ACM MM,7.计算机图形学与多媒体,A会
conference,https://dblp.uni-trier.de/db/conf/siggraph/index.html,SIGGRAPH,7.计算机图形学与多媒体,A会
conference,https://dblp.uni-trier.de/db/conf/vr/index.html,VR,7.计算机图形学与多媒体,A会
conference,https://dblp.uni-trier.de/db/conf/visualization/index.html,IEEE VIS,7.计算机图形学与多媒体,A会
journal,https://dblp.uni-trier.de/db/journals/ai/index.html,AI,8.人工智能,A刊
journal,https://dblp.uni-trier.de/db/journals/pami/index.html,TPAMI,8.人工智能,A刊
journal,https://dblp.uni-trier.de/db/journals/ijcv/index.html,IJCV,8.人工智能,A刊
journal,https://dblp.uni-trier.de/db/journals/jmlr/index.html,JMLR,8.人工智能,A刊
conference,https://dblp.uni-trier.de/db/conf/aaai/index.html,AAAI,8.人工智能,A会
conference,https://dblp.uni-trier.de/db/conf/nips/index.html,NeurIPS,8.人工智能,A会
conference,https://dblp.uni-trier.de/db/conf/acl/index.html,ACL,8.人工智能,A会
conference,https://dblp.uni-trier.de/db/conf/cvpr/index.html,CVPR,8.人工智能,A会
conference,https://dblp.uni-trier.de/db/conf/iccv/index.html,ICCV,8.人工智能,A会
conference,https://dblp.uni-trier.de/db/conf/icml/index.html,ICML,8.人工智能,A会
conference,https://dblp.uni-trier.de/db/conf/ijcai/index.html,IJCAI,8.人工智能,A会
journal,https://dblp.uni-trier.de/db/journals/tochi/index.html,TOCHI,9.人机交互与普适计算,A刊
journal,https://dblp.uni-trier.de/db/journals/ijmms/index.html,IJHCS,9.人机交互与普适计算,A刊
conference,https://dblp.uni-trier.de/db/conf/cscw/index.html,CSCW,9.人机交互与普适计算,A会
conference,https://dblp.uni-trier.de/db/conf/chi/index.html,CHI,9.人机交互与普适计算,A会
conference,https://dblp.uni-trier.de/db/conf/huc/index.html,UbiComp,9.人机交互与普适计算,A会
conference,https://dblp.uni-trier.de/db/conf/uist/index.html,UIST,9.人机交互与普适计算,A会
journal,https://dblp.uni-trier.de/db/journals/jacm/index.html,JACM,10.交叉、综合、新兴,A刊
journal,https://dblp.uni-trier.de/db/journals/pieee/index.html,Proc. IEEE,10.交叉、综合、新兴,A刊
journal,https://dblp.uni-trier.de/db/journals/chinaf/index.html,Proc. SCIS,10.交叉、综合、新兴,A刊
conference,https://dblp.uni-trier.de/db/conf/www/index.html,WWW,10.交叉、综合、新兴,A会
conference,https://dblp.uni-trier.de/db/conf/rtss/index.html,RTSS,10.交叉、综合、新兴,A会
conference,https://dblp.uni-trier.de/db/conf/wine/index.html,WINE,10.交叉、综合、新兴,A会
